[2014-08-05 15:27:56] log.INFO: Uploading excel file -> Grameendata_3.xlsx [] []
[2014-08-05 15:27:56] log.INFO: File uploaded -> Grameendata_3.xlsx :: Processing started... [] []
[2014-08-05 15:27:56] log.INFO: File is readable -> Grameendata_3.xlsx [] []
[2014-08-05 15:32:44] log.INFO: Uploading excel file -> Grameendata_3.xlsx [] []
[2014-08-05 15:32:44] log.INFO: File uploaded -> Grameendata_3.xlsx :: Processing started... [] []
[2014-08-05 15:32:44] log.INFO: File is readable -> Grameendata_3.xlsx [] []
[2014-08-05 15:36:39] log.INFO: Uploading excel file -> Grameen_data_3.xlsx [] []
[2014-08-05 15:36:39] log.INFO: File uploaded -> Grameen_data_3.xlsx :: Processing started... [] []
[2014-08-05 15:36:39] log.INFO: File is readable -> Grameen_data_3.xlsx [] []
[2014-08-05 15:43:49] log.INFO: Uploading excel file -> Grameen_data_3.xlsx [] []
[2014-08-05 15:43:49] log.INFO: File uploaded -> Grameen_data_3.xlsx :: Processing started... [] []
[2014-08-05 15:43:49] log.INFO: File is readable -> Grameen_data_3.xlsx [] []
[2014-08-05 16:05:13] log.INFO: Uploading excel file -> Grameen_data_3.xlsx [] []
[2014-08-05 16:05:13] log.INFO: File uploaded -> Grameen_data_3.xlsx :: Processing started... [] []
[2014-08-05 16:05:13] log.INFO: File is readable -> Grameen_data_3.xlsx [] []
[2014-08-05 16:07:39] log.INFO: Uploading excel file -> Grameen_data_3.xlsx [] []
[2014-08-05 16:07:39] log.INFO: File uploaded -> Grameen_data_3.xlsx :: Processing started... [] []
[2014-08-05 16:07:39] log.INFO: File is readable -> Grameen_data_3.xlsx [] []
[2014-08-05 16:10:51] log.INFO: Uploading excel file -> GrameenData.xlsx [] []
[2014-08-05 16:10:51] log.INFO: File uploaded -> GrameenData.xlsx :: Processing started... [] []
[2014-08-05 16:10:51] log.INFO: File is readable -> GrameenData.xlsx [] []
[2014-08-05 16:12:28] log.ERROR: exception 'Symfony\Component\Debug\Exception\FatalErrorException' with message 'syntax error, unexpected T_STRING' in /var/www/noyawa/app/controllers/UploadController.php:61 Stack trace: #0 [internal function]: Illuminate\Exception\Handler->handleShutdown() #1 {main} [] []
[2014-08-05 16:13:06] log.ERROR: exception 'Symfony\Component\Debug\Exception\FatalErrorException' with message 'syntax error, unexpected T_STRING' in /var/www/noyawa/app/controllers/UploadController.php:61 Stack trace: #0 [internal function]: Illuminate\Exception\Handler->handleShutdown() #1 {main} [] []
[2014-08-05 16:13:58] log.INFO: Uploading excel file -> GrameenData.xlsx [] []
[2014-08-05 16:13:58] log.INFO: File uploaded -> GrameenData.xlsx :: Processing started... [] []
[2014-08-05 16:13:58] log.INFO: File is readable -> GrameenData.xlsx [] []
[2014-08-05 16:14:03] log.ERROR: exception 'Symfony\Component\Debug\Exception\FatalErrorException' with message 'Allowed memory size of 134217728 bytes exhausted (tried to allocate 38 bytes)' in /var/www/noyawa/vendor/phpoffice/phpexcel/Classes/PHPExcel/Worksheet.php:2479 Stack trace: #0 [internal function]: Illuminate\Exception\Handler->handleShutdown() #1 {main} [] []
[2014-08-05 16:18:01] log.INFO: Uploading excel file -> GrameenData.xlsx [] []
[2014-08-05 16:18:01] log.INFO: File uploaded -> GrameenData.xlsx :: Processing started... [] []
[2014-08-05 16:18:01] log.INFO: File is readable -> GrameenData.xlsx [] []
[2014-08-05 16:18:05] log.INFO: Something happened [] []
[2014-08-05 16:18:05] log.INFO: Client [233247877687] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233574679099] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233249129377] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233507761204] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233246764246] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233268180922] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233205523062] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233543909840] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233234098163] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [2332O9685284] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233272766088] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233540667102] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233249971811] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233246466656] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233244545259] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233245422320] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233509791454] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233241133883] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233548760081] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233242653729] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233246054644] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233240158906] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233264412543] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233546211111] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233244908876] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233242400097] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233244908876] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233249978771] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233576505876] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233240439568] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233242528255] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233244528180] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233266117373] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233231224399] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233240016001] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233208900991] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233266994279] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233249349109] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233543421430] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233502717651] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233246788662] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233243936827] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233268534300] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233248803172] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233233181989] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233549339553] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233577756196] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233240604153] saved! [] []
[2014-08-05 16:18:05] log.INFO: Client [233277103409] saved! [] []
